Diện tích (m2),Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Giá
88.0,Không xác định,4.0,22.0,4.0,4.0,4.0,Nội thất đầy đủ,0.1329545454545454,8,0.1818181818181818,11.0,6.460090305209852,7.780005341880342,False,True,False,False,4,11.7
33.0,Không xác định,3.186510027262766,10.35615758860399,2.0,2.0,1.0,Nội thất đầy đủ,0.1318181818181818,4,0.3076923076923076,8.25,6.460090305209852,6.116320967448628,False,False,True,False,4,4.35
68.0,Không xác định,4.574174999174925,14.866068747318504,7.0,5.0,1.0,Không xác định,0.098235294117647,12,0.3076923076923077,5.666666666666667,6.460090305209852,6.820469663395588,False,False,True,False,4,6.68
79.0,Không xác định,4.4,17.0,3.0,2.0,2.0,Không xác định,0.0962025316455696,5,0.2588235294117647,15.8,6.460090305209852,7.866659453584309,False,False,True,False,4,7.6
41.0,Không xác định,3.5,15.0,2.0,2.0,2.0,Hoàn thiện cơ bản,0.0890243902439024,4,0.2333333333333333,10.25,6.460090305209852,6.763887925845672,False,False,True,False,4,3.65
70.0,Đông Nam,5.0,14.0,3.0,2.0,2.0,Nội thất đầy đủ,0.0592857142857142,5,0.3571428571428571,14.0,6.460090305209852,5.4193894993895,False,False,True,False,4,4.15
80.0,Không xác định,4.9613893835683385,16.1245154965971,2.0,2.0,2.2222222222222223,Không xác định,0.0125,4,0.3076923076923077,20.0,6.460090305209852,3.52450328731098,False,False,True,False,4,1.0
105.0,Không xác định,7.5,14.0,3.0,3.0,3.0,Hoàn thiện cơ bản,0.1047619047619047,6,0.5357142857142857,17.5,7.04928547008547,6.935339031339031,False,False,True,False,4,11.0
72.0,Không xác định,6.0,12.0,5.0,5.0,1.0,Không xác định,0.0881944444444444,10,0.5,7.2,6.460090305209852,6.953664968973188,False,False,True,False,4,6.35
53.0,Không xác định,4.0,14.0,4.0,5.0,1.0,Không xác định,0.1886792452830188,9,0.2857142857142857,5.888888888888889,6.460090305209852,6.953664968973188,False,False,True,False,4,10.0
33.0,Không xác định,3.186510027262766,10.35615758860399,3.0,3.0,1.0,Không xác định,0.2106060606060606,6,0.3076923076923076,5.5,9.50365182305874,8.502357968828557,False,True,False,False,4,6.95
41.0,Không xác định,3.8,11.0,2.0,2.0,2.0,Nội thất đầy đủ,0.1658536585365853,4,0.3454545454545454,10.25,6.460090305209852,8.387476495726496,False,False,True,False,4,6.8
54.0,Không xác định,3.5,15.0,2.0,2.0,1.5,Không xác định,0.1268518518518518,4,0.2333333333333333,13.5,6.460090305209852,6.763887925845672,False,False,True,False,4,6.85
30.0,Không xác định,5.0,6.0,3.0,3.0,4.0,Không xác định,0.1283333333333333,6,0.8333333333333334,5.0,9.50365182305874,6.398008547008547,False,False,True,False,4,3.85
114.0,Không xác định,6.0,19.0,4.0,5.0,4.0,Không xác định,0.1219298245614035,9,0.3157894736842105,12.666666666666666,6.460090305209852,6.763887925845672,False,False,True,False,4,13.9
80.0,Không xác định,4.0,20.0,4.0,4.0,1.1111111111111112,Không xác định,0.030475,8,0.2,10.0,3.293273504273504,6.214878561253561,False,False,False,True,4,2.438
40.0,Không xác định,3.508232077228117,11.40175425099138,6.0,5.5,4.0,Không xác định,0.325,11,0.3076923076923077,3.636363636363636,9.50365182305874,8.502357968828557,False,True,False,False,4,13.0
45.6,Tây Nam,3.6,13.4,4.0,4.0,3.0,Không xác định,0.1447368421052631,8,0.2686567164179104,5.7,6.460090305209852,7.57881339031339,False,False,True,False,4,6.6
84.7,Tây Nam,11.0,7.7,4.0,3.0,1.176388888888889,Không xác định,0.0678866587957497,7,1.4285714285714286,12.1,6.460090305209852,7.176403418803418,False,False,True,False,4,5.75
